Data,Notícia
2024-08-21,Ibovespa Futuro sobe à espera da ata do Fed e dados de emprego nos EUA
2024-08-20,Ibovespa fecha acima dos 136 mil pontos e bate novo recorde histórico
2024-08-20,"Com novo recorde, Ibovespa fecha em alta, acima dos 136 mil pontos; Bolsas 
em NY caem"
2024-08-20,Ibovespa: O que explica o novo recorde da bolsa de valores?
2024-08-20,Ibovespa mantém viés positivo após renovar máximas históricas
2024-08-20,"Tempo real: Ibovespa fecha no maior patamar da história aos 136.087,41 
pontos; dólar avança a R$ 5,48"
2024-08-20,"Ibovespa supera 136 mil pontos e fecha no maior patamar da história pelo 2º 
dia seguido; dólar sobe"
2024-08-20,Ibovespa está cotado acima de 135 mil pontos
2024-08-20,Ibovespa bate recorde e deve renovar a máxima mais vezes. Entenda o porquê
2024-08-20,"Ibovespa Futuro cai após recorde na véspera e com atenção a Campos Neto e 
Haddad"
2024-08-20,"Ibovespa renova recorde e fecha aos 136 mil pontos; Vale (VALE3) e grandes 
bancos sobem"
2024-08-19,"Ibovespa atinge maior nível da história: como voltamos ao bom momento na 
bolsa?"
2024-08-19,"Ibovespa fecha em alta e rompe máxima histórica com exterior, bancos e Vale"
2024-08-19,Ibovespa fecha acima dos 135 mil pontos e bate recorde histórico
2024-08-19,Bolsa aos 150 mil pontos? Veja as expectativas do mercado para o Ibovespa
2024-08-19,"Ibovespa hoje: índice alcança marca inédita de 136 mil pontos; dólar fecha 
em baixa a R$ 5,41 – Tempo Real – Estadão E-Investidor – As principais 
notícias do mercado financeiro"
2024-08-19,"Ibovespa renova máxima intradia pela terceira vez consecutiva e atinge 
marca inédita dos 136 mil pontos"
2024-08-19,"Ibovespa sobe e renova recorde de fechamento aos 135 mil pontos; Vale 
(VALE3) e grandes bancos avançam"
2024-08-19,Ibovespa supera 135 mil pontos pela 1ª vez na história
2024-08-19,"Ibovespa está cotada a 133,9 mil pontos"
2024-08-19,Ibovespa fecha aos 135 mil pontos e bate recorde histórico de pontuação
2024-08-18,"Ibovespa vai renovar máximas e dólar seguirá em queda? Confira na análise 
técnica"
2024-08-18,"‘Robô da bolsa’ superou retorno do Ibovespa em 35 vezes e pode ser usado 
por qualquer brasileiro"
2024-08-18,"Tchau, Marfrig (MRFG3): 5 ações para bater o Ibovespa (IBOV) na semana, 
segundo MyCap"
2024-08-18,Próxima semana tem Jackson Hole e possível nova máxima do Ibovespa
2024-08-18,Estudo semanal do Ibovespa 18/08
2024-08-18,*IBOVESPA ALCANÇA NOVAS MÁXIMAS*
2024-08-18,Dólar cai e Bolsa sobe com otimismo sobre economia dos EUA
2024-08-18,Finanças: 3 melhores ações small caps para investir no longo prazo
2024-08-18,"Bolsa em festa, longe da Vale e das certezas"
2024-08-18,Estas são cinco grandes perguntas para a reunião do Fed em Jackson Hole
2024-08-17,"Ibovespa sobe 2,5% na semana, e analistas veem espaço para novos recordes 
em 2024"
