Data,ivolbr,RSI_14,Volume,Signal,trends
2020-03-10,40.89885711669922,31.06342748636314,13531700.0,-0.4900180294229901,46.53448275862069
2020-03-11,66.63103485107422,26.3828795590678,11786900.0,-0.1261653019874443,46.53448275862069
2020-03-12,52.06764602661133,20.45149467632634,12008700.0,-0.4461220617137359,46.53448275862069
2020-03-13,71.23448944091797,33.38559777819625,15766300.0,-0.4597414703055063,46.53448275862069
2020-03-14,71.23448944091797,33.38559777819625,15766300.0,-0.4430852682992191,46.53448275862069
2020-03-15,71.23448944091797,33.38559777819625,15766300.0,-0.6271469916912839,46.53448275862069
2020-03-16,71.23448944091797,27.829569296280383,12847800.0,-0.6032539715646587,46.53448275862069
2020-03-17,85.13941192626953,31.50788047167301,14945900.0,-0.4549267467323468,46.53448275862069
2020-03-18,113.52227020263672,28.059675313564973,16751500.0,-0.4343183090716353,46.53448275862069
2020-03-19,108.5918197631836,29.603634443522022,16144700.0,0.07326154154043983,46.53448275862069
2020-03-20,108.5918197631836,29.014240220717557,15152400.0,-0.2699070001548847,46.53448275862069
2020-03-21,108.5918197631836,29.014240220717557,15152400.0,-0.35016205787061616,46.53448275862069
2020-03-22,108.5918197631836,29.014240220717557,15152400.0,-0.5885026268568507,46.53448275862069
2020-03-23,118.51878356933594,27.387428212816477,11962200.0,-0.19478055087585952,46.53448275862069
2020-03-24,69.1277084350586,34.363668221724254,11679900.0,-0.428001962721287,46.53448275862069
2020-03-25,54.257511138916016,39.66186917454072,12951100.0,-0.5099565952687966,46.53448275862069
2020-03-26,51.02955627441406,42.30441673309367,12758000.0,-0.4634566150077216,46.53448275862069
2020-03-27,83.86262512207031,39.4147006963228,10301400.0,-0.5620783371552285,46.53448275862069
2020-03-28,83.86262512207031,39.4147006963228,10301400.0,-0.583745249410647,46.53448275862069
2020-03-29,83.86262512207031,39.4147006963228,10301400.0,-0.49644821136556005,46.53448275862069
2020-03-30,52.236080169677734,40.64972579872803,9032200.0,-0.5616569242039131,46.53448275862069
2020-03-31,79.60198974609375,39.49001064312619,11141500.0,-0.3636123411728874,46.53448275862069
2020-04-01,74.00674438476562,38.01004801518194,10093500.0,-0.40462534604213446,42.224137931034484
2020-04-02,62.03746032714844,39.538593774113465,10540200.0,-0.3564046932029404,42.224137931034484
2020-04-03,60.749855041503906,37.43964236511822,10411300.0,-0.38198425072219067,42.224137931034484
2020-04-04,60.749855041503906,37.43964236511822,10411300.0,-0.6175388514736229,42.224137931034484
2020-04-05,60.749855041503906,37.43964236511822,10411300.0,-0.15624552514698442,42.224137931034484
2020-04-06,75.4020004272461,42.892984783097646,9685400.0,-0.48408860068681325,42.224137931034484
2020-04-07,58.38060760498047,45.47212931731026,11286500.0,-0.26808937778257746,42.224137931034484
2020-04-08,71.71991729736328,47.982212390163525,10206300.0,-0.271566367960342,42.224137931034484
2020-04-09,41.93683624267578,47.012751962824304,10748700.0,-0.37039673081037194,42.224137931034484
2020-04-10,41.93683624267578,47.012751962824304,10748700.0,-0.07865166395678636,42.224137931034484
2020-04-11,41.93683624267578,47.012751962824304,10748700.0,-0.41922645878879694,42.224137931034484
2020-04-12,41.93683624267578,47.012751962824304,10748700.0,-0.26596061882288546,42.224137931034484
2020-04-13,39.64812088012695,48.387069644191264,7651300.0,-0.11279720451326081,42.224137931034484
2020-04-14,44.08397674560547,49.7042734918477,8593600.0,-0.5684222737411402,42.224137931034484
2020-04-15,37.695289611816406,48.36876564313364,9758400.0,-0.2004490605192771,42.224137931034484
2020-04-16,49.51985168457031,47.09137592070216,9028400.0,-0.24834196013214582,42.224137931034484
2020-04-17,52.59992218017578,48.77556700075266,8317800.0,-0.055128943719188014,42.224137931034484
2020-04-18,52.59992218017578,48.77556700075266,8317800.0,-0.5991699625340653,42.224137931034484
2020-04-19,52.59992218017578,48.77556700075266,8317800.0,-0.16324852664682546,42.224137931034484
2020-04-20,48.54600143432617,48.75144903143751,8874700.0,-0.4882505198127026,42.224137931034484
2020-04-21,48.54600143432617,48.75144903143751,8874700.0,-0.15496834085561673,42.224137931034484
2020-04-22,44.09884262084961,51.36273329693375,9848900.0,-0.20836911517836865,42.224137931034484
2020-04-23,44.09884262084961,49.747786771432544,10823500.0,0.12935507351179917,42.224137931034484
2020-04-24,61.50983810424805,43.44812026885469,16529200.0,-0.2876115889449462,42.224137931034484
2020-04-25,61.50983810424805,43.44812026885469,16529200.0,-0.5939238106388804,42.224137931034484
2020-04-26,61.50983810424805,43.44812026885469,16529200.0,-0.6274330340514702,42.224137931034484
2020-04-27,44.74348449707031,48.18096625188237,10656900.0,-0.4556932929094773,42.224137931034484
2020-04-28,43.957767486572266,52.68713466114032,12939000.0,-0.34903053187978206,42.224137931034484
2020-04-29,44.699581146240234,55.22382034173995,11719700.0,-0.44808533961121144,42.224137931034484
2020-04-30,47.642311096191406,51.00220314128414,11804600.0,-0.19061710675809118,42.224137931034484
2020-05-01,47.642311096191406,51.00220314128414,11804600.0,-0.09946829118243035,39.36206896551724
2020-05-02,47.642311096191406,51.00220314128414,11804600.0,-0.6728645111414009,39.36206896551724
2020-05-03,47.642311096191406,51.00220314128414,11804600.0,-0.41361277350192865,39.36206896551724
2020-05-04,47.642311096191406,48.55719093213081,8594200.0,-0.2671647141999146,39.36206896551724
2020-05-05,44.759117126464844,49.5087209908873,9154700.0,-0.07996985326233864,39.36206896551724
2020-05-06,46.01664352416992,48.84319650016407,9775900.0,-0.19460513268221288,39.36206896551724
2020-05-07,40.619178771972656,47.2548303405923,13808900.0,-0.3394549470069987,39.36206896551724
2020-05-08,46.05596160888672,51.13724694769726,10734400.0,-0.2338711627212525,39.36206896551724
2020-05-09,46.05596160888672,51.13724694769726,10734400.0,-0.2507119424470759,39.36206896551724
2020-05-10,46.05596160888672,51.13724694769726,10734400.0,-0.34868980398624017,39.36206896551724
2020-05-11,48.420738220214844,48.96828918877055,9781900.0,-0.29231578254391716,39.36206896551724
2020-05-12,45.964576721191406,46.83780369384758,10245400.0,-0.48866419622751295,39.36206896551724
2020-05-13,49.669803619384766,46.654571368176704,11575900.0,0.016608454412764415,39.36206896551724
2020-05-14,45.908485412597656,49.3010044496817,13818900.0,-0.018084334706183147,39.36206896551724
2020-05-15,38.33004379272461,46.39237688761681,11718200.0,-0.5807983034574006,39.36206896551724
2020-05-16,38.33004379272461,46.39237688761681,11718200.0,-0.2283045802862893,39.36206896551724
2020-05-17,38.33004379272461,46.39237688761681,11718200.0,-0.31711789330911944,39.36206896551724
2020-05-18,43.997196197509766,53.74371905716694,11533100.0,-0.38198216511799643,39.36206896551724
2020-05-19,34.081932067871094,52.77510885122398,10740100.0,-0.455874071300259,39.36206896551724
2020-05-20,34.081932067871094,53.91689589650106,9522800.0,-0.1399986547555329,39.36206896551724
2020-05-21,38.39652633666992,57.21456329913421,11395200.0,-0.45069105921475355,39.36206896551724
2020-05-22,40.31863784790039,55.09177549878822,9281200.0,-0.37910307674923693,39.36206896551724
2020-05-23,40.31863784790039,55.09177549878822,9281200.0,-0.23306076328897796,39.36206896551724
2020-05-24,40.31863784790039,55.09177549878822,9281200.0,-0.26710833496466274,39.36206896551724
2020-05-25,35.12309646606445,61.395411944020985,8764400.0,-0.33279940327861063,39.36206896551724
2020-05-26,37.14781188964844,60.88381479543189,12030800.0,-0.33591821136044936,39.36206896551724
2020-05-27,36.50172424316406,64.90493627021274,11212000.0,-0.5614659696808751,39.36206896551724
2020-05-28,36.50172424316406,62.136153404565256,10117000.0,-0.3303858154514204,39.36206896551724
2020-05-29,36.50172424316406,62.91202468089495,16550900.0,-0.06496237479884144,39.36206896551724
2020-05-30,36.50172424316406,62.91202468089495,16550900.0,-0.32692034209652804,39.36206896551724
2020-05-31,36.50172424316406,62.91202468089495,16550900.0,-0.17496845937030756,39.36206896551724
2020-06-01,36.50172424316406,64.98339787833835,9849400.0,-0.332608891120546,43.1551724137931
2020-06-02,29.732498168945312,68.73231513427967,11827300.0,-0.5423873475965701,43.1551724137931
2020-06-03,5.302259922027588,71.39173053042931,15137900.0,-0.124116062645153,43.1551724137931
2020-06-04,30.2959041595459,72.45833165954872,11488000.0,-0.42553651260096637,43.1551724137931
2020-06-05,31.153350830078125,73.49796502389957,13320300.0,-0.49341949132347357,43.1551724137931
2020-06-06,31.153350830078125,73.49796502389957,13320300.0,-0.5140738323293541,43.1551724137931
