Date,ABEV3.SA,ALOS3.SA,ALPA4.SA,ARZZ3.SA,ASAI3.SA,AZUL4.SA,B3SA3.SA,BBAS3.SA,BBDC3.SA,BBDC4.SA,BBSE3.SA,BEEF3.SA,BPAC11.SA,BRAP4.SA,BRFS3.SA,BRKM5.SA,CCRO3.SA,CIEL3.SA,CMIG4.SA,CMIN3.SA,COGN3.SA,CPFE3.SA,CPLE6.SA,CRFB3.SA,CSAN3.SA,CSNA3.SA,CVCB3.SA,CYRE3.SA,DXCO3.SA,EGIE3.SA,ELET3.SA,ELET6.SA,EMBR3.SA,ENEV3.SA,ENGI11.SA,EQTL3.SA,EZTC3.SA,FLRY3.SA,GGBR4.SA,GOAU4.SA,HAPV3.SA,HYPE3.SA,IGTI11.SA,IRBR3.SA,ITSA4.SA,ITUB4.SA,JBSS3.SA,KLBN11.SA,LREN3.SA,LWSA3.SA,MGLU3.SA,MRFG3.SA,MRVE3.SA,MULT3.SA,NTCO3.SA,PCAR3.SA,PETR3.SA,PETR4.SA,PETZ3.SA,PRIO3.SA,QUANTIDADE TE�RICA TOTAL.SA,RADL3.SA,RAIL3.SA,RAIZ4.SA,RDOR3.SA,RECV3.SA,REDUTOR.SA,RENT3.SA,RRRP3.SA,SANB11.SA,SBSP3.SA,SLCE3.SA,SMTO3.SA,SOMA3.SA,SUZB3.SA,TAEE11.SA,TIMS3.SA,TOTS3.SA,TRPL4.SA,UGPA3.SA,USIM5.SA,VALE3.SA,VAMO3.SA,VBBR3.SA,VIVA3.SA,VIVT3.SA,WEGE3.SA,YDUQ3.SA
2000-03-21 00:00:00,15167.0,,,,,,,3186000,4983506,,,,,3764000000,0,66400,,,1964958,,,0,5140443,,,6955200,,256000,,,1362,,396274,,,,,,15800000,240000,,,,,9084179,,,,0.0,,,,,,,,3426560000,25492480000,,,,0.0,,,,,,,,,4218,,,,,,,,216821,,1740600,81600,,,,112,0,
2000-03-22 00:00:00,7583.0,,,,,,,6768000,5311369,,,,,5340000000,0,176000,,,2321351,,,122495,4807349,,,8762400,,232000,,,716,,470504,,,,,,6490000,1290000,,,,,14357515,,,,0.0,,,,,,,,2993920000,25113600000,,,,0.0,,,,,,,,,4195,,,,,,,,151115,,1399950,2020800,,,,110,0,
2000-03-23 00:00:00,8493.0,,,,,,,586800,1803242,,,,,5608000000,0,32800,,,1858335,,,0,2112593,,,6501600,,0,,,1075,,239820,,,,,,15110000,800000,,,,,16712508,,,,0.0,,,,,,,,1999360000,26447360000,,,,0.0,,,,,,,,,9594,,,,,,,,85908,,1741500,681600,,,,167,0,
2000-03-24 00:00:00,67189.0,,,,,,,547200,4360568,,,,,6084000000,0,21600,,,1393475,,,0,5654587,,,5364000,,0,,,581,,296920,,,,,,3980000,310000,,,,,25023006,,,,214.0,,,,,,,,1850880000,15249920000,,,,0.0,,,,,,,,,8436,,,,,,,,61906,,524700,1377600,,,,127,0,
2000-03-27 00:00:00,227.0,,,,,,,667800,2458967,,,,,3180000000,0,10400,,,1718877,,,0,1852520,,,3938400,,0,,,675,,216980,,,,,,4910000,30000,,,,,13847549,,,,0.0,,,,,,,,5706240000,22727680000,,,,0.0,,,,,,,,,2567,,,,,,,,73307,,547200,1262400,,,,59,0,
2000-03-28 00:00:00,1592.0,,,,,,,646200,3213050,,,,,5756000000,0,5600,,,1978609,,,0,2757774,,,8251200,,8000,,,1272,,901038,,,,,,5580000,190000,,,,,8618986,,,,0.0,,,,,,,,3650560000,16906240000,,,,0.0,,,,,,,,,5105,,,,,,,,163916,,1654650,1233600,,,,104,0,
2000-03-29 00:00:00,0.0,,,,,,,961200,3180264,,,,,8088000000,0,106400,,,809816,,,0,1942545,,,2851200,,16000,,,654,,282074,,,,,,4470000,1440000,,,,,5523767,,,,0.0,,,,,,,,672000000,21788160000,,,,0.0,,,,,,,,,14160,,,,,,,,115211,,1064250,772800,,,,274,0,
2000-03-30 00:00:00,20172.0,,,,,,,547200,1377021,,,,,6208000000,0,40000,,,1947987,,,0,4723326,,,23760000,,0,,,1436,,912458,,,,,,4420000,80000,,,,,5418723,,,,0.0,,,,,,,,2140160000,16432640000,,,,0.0,,,,,,,,,10936,,,,,,,,44804,,2602800,28800,,,,92,0,
2000-03-31 00:00:00,11299.0,,,,,,,1497600,360648,,,,,17560000000,0,167200,,,1455825,,,0,2228625,,,16264800,,0,,,2094,,283216,,,,,,2170000,210000,,,,,7015534,,,,0.0,,,,,,,,1159680000,20659200000,,,,0.0,,,,,,,,,8774,,,,,,,,34003,,4669200,1003200,,,,108,0,
2000-04-03 00:00:00,1365.0,,,,,,,1555200,819655,,,,,3156000000,0,14400,,,2084125,,,0,1535431,,,3945600,,0,,,2401,,293494,,,,,,6720000,3350000,,,,,14661821,,,,0.0,,,,,,,,3439360000,18083840000,,,,0.0,,,,,,,,,3696,,,,,,,,53305,,3285000,585600,,,,99,0,
