date,ABEV3,ALPA4,BBAS3,BBDC3,BBDC4,BEEF3,BRAP4,BRFS3,BRKM5,CCRO3,CIEL3,CMIG4,CPFE3,CPLE6,CSAN3,CSNA3,CYRE3,DXCO3,EGIE3,ELET3,ELET6,EMBR3,ENEV3,ENGI11,EQTL3,EZTC3,FLRY3,GGBR4,GOAU4,HYPE3,ITSA4,ITUB4,JBSS3,LREN3,MRFG3,MRVE3,MULT3,PCAR3,PETR3,PETR4,PRIO3,RADL3,RENT3,SANB11,SBSP3,SLCE3,SMTO3,SUZB3,TAEE11,TIMS3,TOTS3,TRPL4,UGPA3,USIM5,VALE3,VIVT3,WEGE3,YDUQ3
2018-09-01,0,0,0,0,28,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,41,0
2018-11-01,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0
2018-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-01,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
2019-02-01,0,0,0,0,0,0,0,79,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
2019-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
2019-04-01,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
2019-05-01,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0
2019-07-01,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,59,0,0,31,0,0,0
2019-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0
2019-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,24,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0
2019-10-01,0,0,29,0,38,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,16,19,0,0,0,0,0,0,0,0,0,0,0,0,0,70,28,0,0,0
2019-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-01,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,0,0,42,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,14,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
2020-04-01,0,0,0,0,31,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,72,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0
2020-05-01,0,0,31,0,0,0,0,41,0,0,31,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,56,0,93,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,64,0
2020-06-01,67,0,27,0,32,0,0,0,0,0,52,0,0,0,0,36,0,0,0,0,0,80,0,0,0,0,0,0,0,0,54,44,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,52,13,0,0,0
2020-07-01,65,0,37,0,58,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,69,52,0,78,0,0,0,0,0,27,51,0,0,0,0,58,0,0,0,0,0,0,0,62,23,0,75,0
2020-08-01,77,0,27,0,29,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,69,0,0,93,52,0,0,32,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0
2020-09-01,100,0,29,0,28,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,71,0,97,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,58,0,0,15,0,50,0
2020-10-01,0,0,0,0,32,0,0,0,0,0,69,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,32,0,59,0,46,0,0,0,0,0,0,0,0,0,0,0,0,95,0
2020-11-01,0,0,0,0,51,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,86,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0
2020-12-01,69,0,0,0,0,29,0,0,0,0,48,46,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,53,0,0,0,18,0,46,0
2021-01-01,0,0,47,0,26,0,0,0,0,0,41,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
2021-02-01,0,0,40,0,39,0,0,0,0,0,40,0,0,0,0,44,0,0,0,0,0,0,100,0,0,0,0,0,0,0,51,54,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,68,0,0,18,0,69,0
2021-03-01,0,0,46,0,17,23,0,0,0,0,33,0,0,71,0,0,53,0,0,40,0,70,0,0,0,0,0,0,0,0,28,39,0,0,21,0,0,52,0,39,0,0,0,0,0,0,0,0,50,0,0,0,0,0,30,0,50,0
2021-04-01,0,0,43,0,38,26,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,70,0,0,0,0,0,0,34,0,0,0,0,0,67,0,0,0,0,0,0,0,0,23,0,85,0
2021-05-01,0,0,32,0,44,0,0,0,0,0,32,0,0,51,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,71,0,0,0,0,54,0,29,0,0,0,0,0,0,0,0,53,0,0,0,0,0,18,0,50,0
2021-06-01,0,0,21,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,100,0
2021-07-01,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,63,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,38,0
2021-08-01,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,67,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0
