Date,BBAS3.SA,BBDC3.SA,BRAP4.SA,BRFS3.SA,BRKM5.SA,CMIG4.SA,CPFE3.SA,CPLE6.SA,CSNA3.SA,CYRE3.SA,ELET3.SA,EMBR3.SA,GGBR4.SA,GOAU4.SA,ITSA4.SA,PETR3.SA,PETR4.SA,SBSP3.SA,TRPL4.SA,USIM5.SA,VALE3.SA,VIVT3.SA,WEGE3.SA
2000-04-20 00:00:00,516600,1311449,1096000000,0,0,388859,0,2946827,4694400,120000,476,76514,410000,130000,8133620,410880000,17896960000,2455,33203,371250,777600,142,0
2000-04-21 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-04-24 00:00:00,657000,2819615,2316000000,0,800,2176359,0,4189176,1339200,40000,840,214696,3750000,1130000,10092794,450560000,20638720000,973,40604,1261800,6235200,69,0
2000-04-25 00:00:00,559800,885228,5096000000,0,1600,1431844,0,4735329,1562400,8000,656,375718,2520000,1430000,8536329,1877760000,38284800000,2928,141914,1678050,91200,169,0
2000-04-26 00:00:00,878400,2131104,3620000000,0,0,1820704,0,3951109,19317600,0,557,602976,5060000,140000,9175938,1067520000,22627840000,6395,58905,1319850,2188800,400,0
2000-04-27 00:00:00,2665800,1213090,10128000000,0,2400,2239447,0,4833357,19526400,8000,759,692052,6110000,550000,13389244,1830400000,43991040000,3797,94709,2937600,1521600,397,0
2000-04-28 00:00:00,921600,4163851,6680000000,0,7200,3372822,0,4738330,6091200,8000,1895,584704,2480000,1560000,13471901,3796480000,25940480000,9073,196219,1425150,9720000,537,0
2000-05-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-05-02 00:00:00,1828800,1672097,4528000000,0,0,1759091,0,3301927,3924000,0,1030,300346,439311,65,18344989,3118080000,19975680000,3459,199919,1858500,81600,474,0
2000-05-03 00:00:00,441000,524579,3624000000,0,0,1063645,0,767215,5608800,0,202,142750,312530,111,15055427,2051840000,20416000000,3801,73807,811800,2064000,294,0
2000-05-04 00:00:00,275400,1606525,6572000000,0,347200,1169161,0,5297487,5328000,0,390,332322,602947,103,20713513,1176320000,21488640000,2549,98009,1013400,1828800,343,0
2000-05-05 00:00:00,423000,327862,3276000000,0,257600,1268774,0,1375386,11880000,112000,606,234110,676657,119,10839661,1958400000,17635840000,2039,71407,2445750,1752000,350,0
2000-05-08 00:00:00,487800,1540952,4904000000,0,800,1074713,0,532149,1699200,0,715,127904,250614,167,11546430,408320000,17551360000,2849,100410,1642050,787200,143,27040
2000-05-09 00:00:00,486000,590152,3452000000,0,108000,1493088,0,512143,1677600,0,1378,540166,306633,216,15075353,1107200000,26621440000,1921,103010,1068750,120000,423,0
2000-05-10 00:00:00,700200,2262249,4400000000,0,61600,1214540,0,369103,1605600,0,1210,276364,511547,51,6608397,2255360000,26841600000,3045,43204,749250,8472000,374,0
2000-05-11 00:00:00,738000,819655,2728000000,0,19200,651173,0,506142,3045600,0,892,66236,1376902,276,4649470,1895680000,36037120000,4235,49204,966150,758400,413,0
2000-05-12 00:00:00,802800,491793,3732000000,0,0,689911,0,1697476,2304000,0,935,180436,529237,27,5040616,2392320000,26560000000,2152,154815,696150,1238400,265,0
2000-05-15 00:00:00,264600,3999920,5308000000,0,8000,690281,0,330092,2685600,0,957,95928,4798521,111,10276067,1740800000,13186560000,424,161816,1846800,2126400,149,0
2000-05-16 00:00:00,828000,2131104,3772000000,360,38400,1397902,8251,2810789,6624000,0,1133,339174,2902699,676,8147151,1209600000,27993600000,4884,142314,1368900,369600,133,0
2000-05-17 00:00:00,561600,754083,2356000000,0,36000,461540,0,866243,4204800,0,547,147318,215233,1,5347136,1085440000,12966400000,3031,74107,504900,1334400,71,0
2000-05-18 00:00:00,268200,1049159,1240000000,0,8800,456375,0,570160,727200,0,208,58242,1903192,125,2969756,3537920000,23644160000,2265,49404,604800,96000,65,0
2000-05-19 00:00:00,187200,3180264,4504000000,0,0,1018634,16713,387108,10281600,0,973,208986,458476,3,7359939,985600000,23654400000,1301,118611,971550,432000,82,0
2000-05-22 00:00:00,2345400,1672097,4452000000,0,0,1690100,0,2299645,8208000,0,1286,342600,1536116,427,6062761,3284480000,20034560000,2302,206420,1819350,566400,145,0
2000-05-23 00:00:00,469800,688510,3448000000,0,24000,2986176,0,976274,3837600,0,378,179294,1298770,17,8124764,7055360000,24501760000,1918,80608,1042650,278400,196,0
2000-05-24 00:00:00,405000,4426140,3672000000,0,56000,851506,0,944265,3650400,0,850,211270,2142012,839,4016502,4143360000,38970880000,2997,109510,1033200,2385600,584,0
2000-05-25 00:00:00,567000,622938,1824000000,0,4000,1111238,0,1320370,21124800,0,832,105064,4223583,67,4067917,3498240000,38474240000,9536,50605,5045850,2332800,1086,0
2000-05-26 00:00:00,138600,459007,3144000000,0,22400,1545477,0,923259,4255200,0,1082,197566,794593,131,5738528,1205760000,26065920000,4131,52405,1044450,8054400,181,0
2000-05-29 00:00:00,799200,1409807,1256000000,0,80800,639736,0,508142,1648800,0,363,75372,1314986,3,869869,976640000,11112960000,992,48204,949050,187200,0,0
2000-05-30 00:00:00,671400,1114731,2528000000,360,16000,1741382,1904,2754773,6624000,48000,1173,179294,3828497,354,3162131,4945920000,23626240000,5990,578557,1721700,460800,561,6760
2000-05-31 00:00:00,765000,3967133,5372000000,360,40000,1043354,6135,2036571,8287200,40000,1000,159880,3426040,403,6570513,8158720000,26045440000,3636,1053805,2227050,1560000,546,27040
2000-06-01 00:00:00,608400,426220,4336000000,0,97600,1475010,0,121033,14450400,1632000,1289,149602,2345452,37,5029546,4921600000,27148800000,2407,426542,1143000,177600,873,0
2000-06-02 00:00:00,905400,4688430,6620000000,360,21600,2341274,0,1537431,6508800,8000,2163,328896,2758228,196,9207181,9228800000,51576320000,7921,328032,2288250,600000,1823,0
2000-06-05 00:00:00,837000,1901601,5632000000,0,11200,1441068,0,5044416,1490400,0,952,191856,1662897,89,16862324,7645440000,22650880000,4289,297429,1048950,3244800,186,0
2000-06-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-06-07 00:00:00,509400,1147518,3984000000,0,45600,1971599,0,1031289,8805600,0,3136,427108,1300244,614,11962422,5758720000,23697920000,2745,321332,2117700,3278400,828,0
2000-06-08 00:00:00,664200,2032746,4908000000,0,2400,3265093,0,3816071,8157600,0,2165,370008,1937098,495,6449725,4131840000,28997120000,6729,243124,2006100,787200,841,0
2000-06-09 00:00:00,86400,1770456,5808000000,0,13600,1702644,6135,5575565,8964000,0,1921,1050640,1518426,165,5863744,3005440000,10813440000,2081,500150,2006100,57600,483,0
2000-06-12 00:00:00,918000,2655684,6644000000,0,800,1055159,0,1788502,2455200,0,790,174726,511547,539,4036675,755200000,6832640000,1760,816481,1544850,6124800,155,0
2000-06-13 00:00:00,604800,1704883,9648000000,0,114400,2631259,0,2645742,4284000,0,1840,359730,676657,308,4423392,1881600000,21562880000,2864,523052,775350,518400,636,0
2000-06-14 00:00:00,1733400,3016333,8976000000,0,57600,2864427,0,4547276,12981600,0,1878,980978,875674,198,6946160,2339840000,27604480000,2503,500150,1866150,288000,940,0
2000-06-15 00:00:00,2260800,590152,4484000000,0,57600,1933968,0,1258353,6199200,0,2092,269512,1879605,147,3703339,2488320000,21391360000,1866,226322,3670200,4084800,1364,0
2000-06-16 00:00:00,1515600,1540952,6600000000,0,80000,3530358,1904,716201,8755200,0,2303,161022,1456509,624,8323781,3351040000,36892160000,3799,149214,8717850,4128000,5599,0
2000-06-19 00:00:00,1173600,1540952,2468000000,0,260800,4016617,0,4242191,13406400,0,3036,357446,3300733,1078,7265965,4734720000,68078080000,7795,126012,3622050,1435200,1932,0
2000-06-20 00:00:00,1297800,2721257,2492000000,0,20000,3540689,0,1269356,5292000,0,1511,170158,2488449,155,5349350,3251200000,17233920000,7232,97709,2733300,211200,1330,0
2000-06-21 00:00:00,1234800,3803202,7056000000,0,148000,3919587,0,5771620,8539200,8000,2268,528746,5383778,358,17340802,2892800000,38213120000,13989,106710,6060600,1382400,2542,0
2000-06-22 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-06-23 00:00:00,563400,1606525,5344000000,0,0,1752081,0,6278762,6062400,0,1583,527604,1985747,628,7006431,27763200,28073600,4849,267626,2656800,2438400,1863,0
2000-06-26 00:00:00,1828800,918014,4920000000,0,64800,1871986,0,3269918,4442400,0,1023,352878,1390170,857,7341980,36313600,23228800,7365,80108,2823750,547200,324,0
2000-06-27 00:00:00,1283400,1180304,3280000000,0,73600,1454718,0,4398234,7027200,8000,1611,174726,1571497,753,7104833,51481600,28342400,5034,131913,1320300,273600,644,0
2000-06-28 00:00:00,700200,2458967,5100000000,0,76000,1324115,0,3617015,5659200,8000,246,310624,2438326,282,5993388,58662400,25206400,5185,105210,2079000,528000,398,0
