Date,ABEV3.SA,ALPA4.SA,BBAS3.SA,BBDC3.SA,BBDC4.SA,BEEF3.SA,BRAP4.SA,BRFS3.SA,BRKM5.SA,CCRO3.SA,CIEL3.SA,CMIG4.SA,CPFE3.SA,CPLE6.SA,CSAN3.SA,CSNA3.SA,CYRE3.SA,DXCO3.SA,EGIE3.SA,ELET3.SA,ELET6.SA,EMBR3.SA,ENEV3.SA,ENGI11.SA,EQTL3.SA,EZTC3.SA,FLRY3.SA,GGBR4.SA,GOAU4.SA,HYPE3.SA,ITSA4.SA,ITUB4.SA,JBSS3.SA,LREN3.SA,MRFG3.SA,MRVE3.SA,MULT3.SA,PCAR3.SA,PETR3.SA,PETR4.SA,PRIO3.SA,RADL3.SA,RENT3.SA,SANB11.SA,SBSP3.SA,SLCE3.SA,SMTO3.SA,SUZB3.SA,TAEE11.SA,TIMS3.SA,TOTS3.SA,TRPL4.SA,UGPA3.SA,USIM5.SA,VALE3.SA,VIVT3.SA,WEGE3.SA,YDUQ3.SA
2011-02-15 00:00:00,176698.0,274397.0,17449800,1010294,0.0,45459.0,905011,2262830,857900,3128400.0,3990465.0,3628713,685891,5465534,5785706.0,2457200,2632300,3176537.0,816250.0,859626,823200.0,1638600,109764.0,2222.0,588807.0,248357.0,166067.0,5242356,888200,3191900.0,16000503,18067067.0,7639900.0,8866722.0,1523940.0,7299843.0,1464683.0,0.0,7426800,27939600,2825000.0,1495520.0,6225832.0,1966036.0,756600,836836.0,734700.0,0.0,43800.0,493800.0,1699379.0,796792,0.0,4877100,2428800,13100,1042392,200100.0
2011-02-16 00:00:00,1054181.0,448227.0,22427000,1576363,0.0,48306.0,1767938,2276487,940800,3476000.0,9631182.0,6299850,809656,6977959,4180741.0,2931300,6927800,3583712.0,648000.0,1534082,1464900.0,1281900,125057.0,0.0,1493890.0,128813.0,676997.0,7281036,1510200,2232700.0,18557508,20818623.0,7066200.0,7552612.0,2404030.0,5504114.0,776744.0,0.0,4515700,24193500,1665000.0,2156960.0,2489216.0,4347884.0,767400,522236.0,202200.0,0.0,300.0,931600.0,893379.0,644292,0.0,7435900,2907400,15700,2020564,946800.0
2011-02-17 00:00:00,834936.0,222948.0,19198400,982935,0.0,190787.0,1290703,3873075,648100,1913200.0,21719826.0,3728764,852816,18124088,4242851.0,3206600,3547600,1355227.0,518250.0,1077709,936200.0,1245100,76598.0,444.0,1349077.0,169024.0,761197.0,7255458,1376800,4458200.0,13875113,20869134.0,5995800.0,4719795.0,2376876.0,5766351.0,531630.0,0.0,2372500,19143600,1815000.0,2439320.0,2827322.0,2695684.0,734400,482548.0,423900.0,0.0,0.0,792500.0,1715951.0,332433,0.0,9555300,2943400,8300,9754680,388500.0
2011-02-18 00:00:00,205230.0,234270.0,10696800,677196,0.0,38035.0,1041890,3188238,2157400,1976800.0,11650302.0,4464960,681872,9112558,5756001.0,2451400,3810000,2709205.0,945375.0,1799383,1321200.0,1587100,67689.0,0.0,769823.0,591450.0,436060.0,7587594,1075700,3613500.0,8642484,10707329.0,3441200.0,5667645.0,1293031.0,5735112.0,1145165.0,0.0,3217100,16769000,2065000.0,1611480.0,3753015.0,2386951.0,838500,737132.0,417300.0,0.0,0.0,369600.0,858729.0,364708,0.0,13812100,2280800,25500,1435824,628200.0
2011-02-21 00:00:00,619194.0,248589.0,6214000,328867,0.0,11186.0,1056207,1481030,675700,4936000.0,5527249.0,4120008,575243,3148884,4134383.0,1871600,3456900,1811670.0,640250.0,770592,522000.0,509400,57014.0,0.0,334880.0,246857.0,174127.0,3425184,655500,1181100.0,10019504,7595824.0,1751400.0,3445934.0,612774.0,3070943.0,973255.0,0.0,1812900,22204200,825000.0,957320.0,642018.0,611736.0,123300,432212.0,210600.0,0.0,0.0,296900.0,149147.0,540608,0.0,4353600,775600,1900,1070784,85800.0
2011-02-22 00:00:00,1065694.0,911439.0,19152200,548864,0.0,43222.0,1989852,2509494,2754300,4462000.0,13749646.0,6030309,983139,10333901,5777605.0,5291900,9249600,2070863.0,1671000.0,1194053,828400.0,1541300,142251.0,0.0,1341032.0,412747.0,855578.0,10880100,1331400,3245000.0,19362647,22225477.0,4414600.0,11424508.0,1230476.0,5576824.0,1107363.0,0.0,11655100,36610900,1350000.0,1052480.0,3467596.0,2573399.0,696000,2023120.0,685500.0,0.0,2700.0,691200.0,1104295.0,886758,0.0,6720400,4495400,31300,2416024,178500.0
2011-02-23 00:00:00,1135272.0,639206.0,13516800,913833,0.0,350352.0,2456892,4202205,2368300,3793200.0,8464061.0,5590533,721434,11602257,6840680.0,3095800,9586200,2964649.0,920500.0,1403933,1240500.0,2013100,90913.0,0.0,307728.0,328507.0,356102.0,9844632,1978800,2650400.0,16205045,19153063.0,5551300.0,9356411.0,1491657.0,5126269.0,1050359.0,0.0,16428800,62622100,1205000.0,4697680.0,5501468.0,1992806.0,681000,752136.0,286500.0,0.0,0.0,892000.0,406766.0,624927,0.0,16031500,3257100,2800,2067208,198300.0
2011-02-24 00:00:00,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,25611062.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
2011-02-25 00:00:00,405955.0,215621.0,16094000,421661,0.0,289943.0,1825857,1358959,1167300,2272400.0,7678350.0,5343392,1027779,5593570,3687459.0,2305000,7898500,12102972.0,625875.0,1490666,1226200.0,1572600,141571.0,999.0,295660.0,132766.0,601280.0,7483140,1263600,3268800.0,18588433,20746809.0,3345500.0,6363272.0,1190650.0,6878218.0,480327.0,0.0,7541700,27201000,7545000.0,1604720.0,4466563.0,1794275.0,527400,1444256.0,79200.0,0.0,0.0,1028500.0,700542.0,431679,0.0,7225600,2695700,5200,3683524,335700.0
2011-02-28 00:00:00,1028152.0,293379.0,13489200,719785,0.0,326656.0,1246667,3396557,1026500,9326000.0,6456089.0,7243614,915227,5560561,6281238.0,2799400,7627700,4120126.0,335625.0,1516676,1001800.0,1519400,98328.0,0.0,727083.0,453913.0,657696.0,5678316,1062400,2568200.0,19486566,21685224.0,3399300.0,4721808.0,1131817.0,15970931.0,1157765.0,0.0,8036800,28891100,23265000.0,2524600.0,2617620.0,1344717.0,1034100,2469368.0,200100.0,0.0,0.0,316100.0,3070333.0,457096,0.0,5294400,2654000,4500,1546688,794700.0
2011-03-01 00:00:00,605679.0,201968.0,11907200,1335495,0.0,292892.0,1646460,1988958,841800,3080000.0,5023415.0,5731650,662619,5951671,6815476.0,2477700,7885400,1843801.0,512125.0,1568495,878200.0,1314700,105934.0,0.0,380135.0,127859.0,203183.0,7583940,1040200,1545400.0,12944068,11135798.0,7245800.0,10217727.0,1320386.0,10485296.0,745542.0,0.0,5225000,26547900,2390000.0,1948960.0,2283700.0,1793025.0,714000,700832.0,207600.0,0.0,0.0,902500.0,586045.0,216243,0.0,6755900,2473100,11000,963300,319200.0
2011-03-02 00:00:00,1114749.0,383124.0,9459800,1556338,0.0,268281.0,1337342,3766762,1133500,4938400.0,3788413.0,4491466,1052744,7827197,10536691.0,3737200,9399500,2830947.0,582625.0,1175346,1217600.0,1871800,150508.0,0.0,387677.0,305880.0,343588.0,5931576,1184400,1550800.0,12012139,15035062.0,2895800.0,6168738.0,2178551.0,5353306.0,585033.0,0.0,7569000,25808400,4160000.0,1733680.0,3458175.0,1153061.0,691500,346544.0,285000.0,0.0,0.0,407700.0,564953.0,261428,0.0,7747200,2390000,13100,1646060,573900.0
